event,call_index,j,tries,side,extra,dt
rr_cpp,123,123,1,loop,Ratrecon1_total,0.000318
rr_map,123,123,1,loop,Maple_Ratrecon,0.0001
rr_cpp_ext,124,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,124,124,1,loop,Ratrecon1_total,0.000324
rr_map,124,124,1,loop,Maple_Ratrecon,0.000101
rr_cpp_ext,125,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,125,125,1,loop,Ratrecon1_total,0.000325
rr_map,125,125,1,loop,Maple_Ratrecon,9.8e-05
rr_cpp_ext,126,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,126,126,1,loop,Ratrecon1_total,0.000316
rr_map,126,126,1,loop,Maple_Ratrecon,9.9e-05
rr_cpp_ext,127,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,127,127,1,loop,Ratrecon1_total,0.000341
rr_map,127,127,1,loop,Maple_Ratrecon,9.7e-05
rr_cpp_ext,128,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,128,128,1,loop,Ratrecon1_total,0.000323
rr_map,128,128,1,loop,Maple_Ratrecon,9.3e-05
rr_cpp_ext,129,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,129,129,1,loop,Ratrecon1_total,0.00032
rr_map,129,129,1,loop,Maple_Ratrecon,9.8e-05
rr_cpp_ext,130,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,130,130,1,loop,Ratrecon1_total,0.000348
rr_map,130,130,1,loop,Maple_Ratrecon,0.000102
rr_cpp_ext,131,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,131,131,1,loop,Ratrecon1_total,0.000311
rr_map,131,131,1,loop,Maple_Ratrecon,9.7e-05
rr_cpp_ext,132,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,132,132,1,loop,Ratrecon1_total,0.000335
rr_map,132,132,1,loop,Maple_Ratrecon,0.0001
rr_cpp_ext,133,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,133,133,1,loop,Ratrecon1_total,0.000319
rr_map,133,133,1,loop,Maple_Ratrecon,9.7e-05
rr_cpp_ext,134,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,134,134,1,loop,Ratrecon1_total,0.000344
rr_map,134,134,1,loop,Maple_Ratrecon,0.000106
rr_cpp_ext,135,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,135,135,1,loop,Ratrecon1_total,0.000345
rr_map,135,135,1,loop,Maple_Ratrecon,0.000108
rr_cpp_ext,136,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,136,136,1,loop,Ratrecon1_total,0.00035
rr_map,136,136,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,137,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,137,137,1,loop,Ratrecon1_total,0.000342
rr_map,137,137,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,138,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,138,138,1,loop,Ratrecon1_total,0.000347
rr_map,138,138,1,loop,Maple_Ratrecon,0.000103
rr_cpp_ext,139,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,139,139,1,loop,Ratrecon1_total,0.000341
rr_map,139,139,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,140,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,140,140,1,loop,Ratrecon1_total,0.000349
rr_map,140,140,1,loop,Maple_Ratrecon,0.000104
rr_cpp_ext,141,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,141,141,1,loop,Ratrecon1_total,0.000325
rr_map,141,141,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,142,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,142,142,1,loop,Ratrecon1_total,0.000341
